2017.09.10 19:53:23.713   Stuff found, idx:26
2017.09.10 19:53:23.995   Player found, idx:3
2017.09.10 19:53:23.996   Stuff found, idx:27
2017.09.10 19:53:24.076   Player found, idx:1
2017.09.10 19:53:24.076   Stuff found, idx:26
2017.09.10 19:53:24.362   Player found, idx:3
2017.09.10 19:53:24.362   Stuff found, idx:27
2017.09.10 19:53:24.462   Player found, idx:1
2017.09.10 19:53:24.462   Stuff found, idx:26
2017.09.10 19:53:24.745   Player found, idx:3
2017.09.10 19:53:24.746   Stuff found, idx:27
2017.09.10 19:53:24.829   Player found, idx:1
2017.09.10 19:53:24.829   Stuff found, idx:26
2017.09.10 19:53:25.111   Player found, idx:3
2017.09.10 19:53:25.112   Stuff found, idx:27
2017.09.10 19:53:25.212   Player found, idx:1
2017.09.10 19:53:25.212   Stuff found, idx:26
2017.09.10 19:53:25.496   Player found, idx:3
2017.09.10 19:53:25.497   Stuff found, idx:27
2017.09.10 19:53:25.576   Player found, idx:1
2017.09.10 19:53:25.576   Stuff found, idx:26
2017.09.10 19:53:25.862   Player found, idx:3
2017.09.10 19:53:25.862   Stuff found, idx:27
2017.09.10 19:53:25.962   Player found, idx:1
2017.09.10 19:53:25.962   Stuff found, idx:26
2017.09.10 19:53:26.245   Player found, idx:3
2017.09.10 19:53:26.245   Stuff found, idx:27
2017.09.10 19:53:26.326   Player found, idx:1
2017.09.10 19:53:26.327   Stuff found, idx:26
2017.09.10 19:53:26.612   Player found, idx:3
2017.09.10 19:53:26.612   Stuff found, idx:27
2017.09.10 19:53:26.711   Player found, idx:1
2017.09.10 19:53:26.712   Stuff found, idx:26
2017.09.10 19:53:26.995   Player found, idx:3
2017.09.10 19:53:26.996   Stuff found, idx:27
2017.09.10 19:53:27.079   Player found, idx:1
2017.09.10 19:53:27.079   Stuff found, idx:26
2017.09.10 19:53:27.362   Player found, idx:3
2017.09.10 19:53:27.362   Stuff found, idx:27
2017.09.10 19:53:27.462   Player found, idx:1
2017.09.10 19:53:27.462   Stuff found, idx:26
2017.09.10 19:53:27.745   Player found, idx:3
2017.09.10 19:53:27.746   Stuff found, idx:27
2017.09.10 19:53:27.829   Player found, idx:1
2017.09.10 19:53:27.829   Stuff found, idx:26
2017.09.10 19:53:28.112   Player found, idx:3
2017.09.10 19:53:28.112   Stuff found, idx:27
2017.09.10 19:53:28.212   Player found, idx:1
2017.09.10 19:53:28.212   Stuff found, idx:26
2017.09.10 19:53:28.592   Player found, idx:3
2017.09.10 19:53:28.592   Stuff found, idx:27
2017.09.10 19:53:28.633   Player found, idx:1
2017.09.10 19:53:28.633   Stuff found, idx:13
2017.09.10 19:53:28.912   Player found, idx:3
2017.09.10 19:53:28.913   Stuff found, idx:27
2017.09.10 19:53:29.012   Player found, idx:1
2017.09.10 19:53:29.013   Stuff found, idx:13
2017.09.10 19:53:29.279   Player found, idx:3
2017.09.10 19:53:29.279   Stuff found, idx:27
2017.09.10 19:53:29.376   Player found, idx:1
2017.09.10 19:53:29.376   Stuff found, idx:13
2017.09.10 19:53:29.662   Player found, idx:3
2017.09.10 19:53:29.662   Stuff found, idx:27
2017.09.10 19:53:29.762   Player found, idx:1
2017.09.10 19:53:29.762   Stuff found, idx:13
2017.09.10 19:53:30.043   Player found, idx:3
2017.09.10 19:53:30.044   Stuff found, idx:27
2017.09.10 19:53:30.129   Player found, idx:1
2017.09.10 19:53:30.130   Stuff found, idx:13
2017.09.10 19:53:30.413   Player found, idx:3
2017.09.10 19:53:30.413   Stuff found, idx:27
2017.09.10 19:53:30.495   Player found, idx:1
2017.09.10 19:53:30.496   Stuff found, idx:13
2017.09.10 19:53:30.779   Player found, idx:3
2017.09.10 19:53:30.779   Stuff found, idx:27
2017.09.10 19:53:30.881   Player found, idx:1
2017.09.10 19:53:30.882   Stuff found, idx:13
2017.09.10 19:53:31.162   Player found, idx:3
2017.09.10 19:53:31.162   Stuff found, idx:27
2017.09.10 19:53:31.246   Player found, idx:1
2017.09.10 19:53:31.246   Stuff found, idx:13
2017.09.10 19:53:31.529   Player found, idx:3
2017.09.10 19:53:31.529   Stuff found, idx:27
2017.09.10 19:53:31.629   Player found, idx:1
2017.09.10 19:53:31.630   Stuff found, idx:13
2017.09.10 19:53:31.912   Player found, idx:3
2017.09.10 19:53:31.912   Stuff found, idx:27
2017.09.10 19:53:32.012   Player found, idx:1
2017.09.10 19:53:32.012   Stuff found, idx:13
2017.09.10 19:53:32.279   Player found, idx:3
2017.09.10 19:53:32.279   Stuff found, idx:27
2017.09.10 19:53:32.380   Player found, idx:1
2017.09.10 19:53:32.380   Stuff found, idx:13
2017.09.10 19:53:32.662   Player found, idx:3
2017.09.10 19:53:32.663   Stuff found, idx:27
2017.09.10 19:53:32.837   Player found, idx:1
2017.09.10 19:53:32.838   Stuff found, idx:13
2017.09.10 19:53:33.076   Player found, idx:3
2017.09.10 19:53:33.077   Stuff found, idx:27
2017.09.10 19:53:33.179   Player found, idx:1
2017.09.10 19:53:33.179   Stuff found, idx:13
2017.09.10 19:53:33.462   Player found, idx:3
2017.09.10 19:53:33.463   Stuff found, idx:27
2017.09.10 19:53:33.545   Player found, idx:1
2017.09.10 19:53:33.546   Stuff found, idx:13
2017.09.10 19:53:33.829   Player found, idx:3
2017.09.10 19:53:33.830   Stuff found, idx:27
2017.09.10 19:53:33.929   Player found, idx:1
2017.09.10 19:53:33.930   Stuff found, idx:13
2017.09.10 19:53:34.212   Player found, idx:3
2017.09.10 19:53:34.213   Stuff found, idx:27
2017.09.10 19:53:34.295   Player found, idx:1
2017.09.10 19:53:34.296   Stuff found, idx:13
2017.09.10 19:53:34.579   Player found, idx:3
2017.09.10 19:53:34.579   Stuff found, idx:27
2017.09.10 19:53:34.679   Player found, idx:1
2017.09.10 19:53:34.680   Stuff found, idx:13
2017.09.10 19:53:34.962   Player found, idx:3
2017.09.10 19:53:34.963   Stuff found, idx:27
2017.09.10 19:53:35.045   Player found, idx:1
2017.09.10 19:53:35.046   Stuff found, idx:13
2017.09.10 19:53:35.326   Player found, idx:3
2017.09.10 19:53:35.327   Stuff found, idx:27
2017.09.10 19:53:35.564   Player found, idx:1
2017.09.10 19:53:35.564   Stuff found, idx:13
2017.09.10 19:53:35.796   Player found, idx:3
2017.09.10 19:53:35.796   Stuff found, idx:27
2017.09.10 19:53:35.899   Player found, idx:1
2017.09.10 19:53:35.899   Stuff found, idx:13
2017.09.10 19:53:36.179   Player found, idx:3
2017.09.10 19:53:36.179   Stuff found, idx:27
2017.09.10 19:53:36.262   Player found, idx:1
2017.09.10 19:53:36.263   Stuff found, idx:13
2017.09.10 19:53:36.546   Player found, idx:3
2017.09.10 19:53:36.546   Stuff found, idx:27
2017.09.10 19:53:36.646   Player found, idx:1
2017.09.10 19:53:36.646   Stuff found, idx:13
2017.09.10 19:53:36.929   Player found, idx:3
2017.09.10 19:53:36.930   Stuff found, idx:27
2017.09.10 19:53:37.012   Player found, idx:1
2017.09.10 19:53:37.012   Stuff found, idx:13
2017.09.10 19:53:37.296   Player found, idx:3
2017.09.10 19:53:37.296   Stuff found, idx:27
2017.09.10 19:53:37.396   Player found, idx:1
2017.09.10 19:53:37.396   Stuff found, idx:13
2017.09.10 19:53:37.679   Player found, idx:3
2017.09.10 19:53:37.680   Stuff found, idx:27
2017.09.10 19:53:37.762   Player found, idx:1
2017.09.10 19:53:37.763   Stuff found, idx:13
2017.09.10 19:53:38.043   Player found, idx:3
2017.09.10 19:53:38.043   Stuff found, idx:27
2017.09.10 19:53:38.291   Player found, idx:1
2017.09.10 19:53:38.291   Stuff found, idx:13
2017.09.10 19:53:38.512   Player found, idx:3
2017.09.10 19:53:38.513   Stuff found, idx:27
2017.09.10 19:53:38.612   Player found, idx:1
2017.09.10 19:53:38.613   Stuff found, idx:13
2017.09.10 19:53:38.896   Player found, idx:3
2017.09.10 19:53:38.897   Stuff found, idx:27
2017.09.10 19:53:38.979   Player found, idx:1
2017.09.10 19:53:38.979   Stuff found, idx:13
2017.09.10 19:53:39.262   Player found, idx:3
2017.09.10 19:53:39.263   Stuff found, idx:27
2017.09.10 19:53:39.362   Player found, idx:1
2017.09.10 19:53:39.363   Stuff found, idx:13
2017.09.10 19:53:39.646   Player found, idx:3
2017.09.10 19:53:39.646   Stuff found, idx:27
2017.09.10 19:53:39.729   Player found, idx:1
2017.09.10 19:53:39.730   Stuff found, idx:13
2017.09.10 19:53:40.014   Player found, idx:3
2017.09.10 19:53:40.014   Stuff found, idx:27
2017.09.10 19:53:40.112   Player found, idx:1
2017.09.10 19:53:40.113   Stuff found, idx:13
2017.09.10 19:53:40.399   Player found, idx:3
2017.09.10 19:53:40.399   Stuff found, idx:27
2017.09.10 19:53:40.493   Player found, idx:1
2017.09.10 19:53:40.910   Player found, idx:3
2017.09.10 19:53:40.911   Stuff found, idx:27
2017.09.10 19:53:40.996   Player found, idx:1
2017.09.10 19:53:41.279   Player found, idx:3
2017.09.10 19:53:41.279   Stuff found, idx:27
2017.09.10 19:53:41.380   Player found, idx:1
2017.09.10 19:53:41.663   Player found, idx:3
2017.09.10 19:53:41.663   Stuff found, idx:27
2017.09.10 19:53:41.746   Player found, idx:1
2017.09.10 19:53:42.179   Player found, idx:3
2017.09.10 19:53:42.179   Stuff found, idx:27
2017.09.10 19:53:42.263   Player found, idx:1
2017.09.10 19:53:42.263   Stuff found, idx:18
2017.09.10 19:53:42.546   Player found, idx:3
2017.09.10 19:53:42.546   Stuff found, idx:27
2017.09.10 19:53:42.643   Player found, idx:1
2017.09.10 19:53:42.644   Stuff found, idx:18
2017.09.10 19:53:42.929   Player found, idx:3
2017.09.10 19:53:42.930   Stuff found, idx:27
2017.09.10 19:53:43.012   Player found, idx:1
2017.09.10 19:53:43.013   Stuff found, idx:18
2017.09.10 19:53:43.296   Player found, idx:3
2017.09.10 19:53:43.296   Stuff found, idx:27
2017.09.10 19:53:43.398   Player found, idx:1
2017.09.10 19:53:43.398   Stuff found, idx:18
2017.09.10 19:53:43.679   Player found, idx:3
2017.09.10 19:53:43.679   Stuff found, idx:27
2017.09.10 19:53:43.763   Player found, idx:1
2017.09.10 19:53:43.763   Stuff found, idx:18
2017.09.10 19:53:44.046   Player found, idx:3
2017.09.10 19:53:44.046   Stuff found, idx:27
2017.09.10 19:53:44.146   Player found, idx:1
2017.09.10 19:53:44.146   Stuff found, idx:18
2017.09.10 19:53:44.429   Player found, idx:3
2017.09.10 19:53:44.430   Stuff found, idx:27
2017.09.10 19:53:44.529   Player found, idx:1
